NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHROMATIN MODIFICATIONS DURING THE MATERNAL TO ZYGOTIC TRANSITION (MZT)%REACTOME%R-HSA-9821002.1	CHROMATIN MODIFICATIONS DURING THE MATERNAL TO ZYGOTIC TRANSITION (MZT)%REACTOME%R-HSA-9821002.1	Details ...	30	0.73926747	2.070156	0.0	0.035156496	0.032	2315	tags=50%, list=12%, signal=57%	
HALLMARK_ESTROGEN_RESPONSE_EARLY%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	168	0.55395067	2.0346494	0.0	0.03901318	0.07	1364	tags=33%, list=7%, signal=35%	
CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME DATABASE ID RELEASE 91%2299718	CONDENSATION OF PROPHASE CHROMOSOMES%REACTOME DATABASE ID RELEASE 91%2299718	Details ...	34	0.6973347	2.0254714	0.0	0.03204067	0.0845	2772	tags=50%, list=15%, signal=59%	
ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF REPLICATION%REACTOME%R-HSA-68616.6	ASSEMBLY OF THE ORC COMPLEX AT THE ORIGIN OF REPLICATION%REACTOME%R-HSA-68616.6	Details ...	31	0.71498775	2.0094972	0.0	0.03392838	0.117	3467	tags=58%, list=18%, signal=71%	
RNA POLYMERASE I PROMOTER OPENING%REACTOME%R-HSA-73728.4	RNA POLYMERASE I PROMOTER OPENING%REACTOME%R-HSA-73728.4	Details ...	25	0.7362451	1.9980377	0.0	0.03438699	0.146	2315	tags=56%, list=12%, signal=64%	
RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PYRIMIDINE%REACTOME DATABASE ID RELEASE 91%110328	RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PYRIMIDINE%REACTOME DATABASE ID RELEASE 91%110328	Details ...	34	0.6871827	1.9814956	0.0	0.040809616	0.2	2772	tags=50%, list=15%, signal=59%	
HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	HUMORAL IMMUNE RESPONSE%GOBP%GO:0006959	Details ...	88	0.5778819	1.98024	0.0	0.03576066	0.204	1677	tags=26%, list=9%, signal=29%	
DEPYRIMIDINATION%REACTOME DATABASE ID RELEASE 91%73928	DEPYRIMIDINATION%REACTOME DATABASE ID RELEASE 91%73928	Details ...	34	0.6871827	1.9710416	0.0	0.03875234	0.2465	2772	tags=50%, list=15%, signal=59%	
CHEMOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070098	CHEMOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070098	Details ...	29	0.7104995	1.9678191	0.0	0.03682241	0.2605	2145	tags=48%, list=11%, signal=54%	
MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	Details ...	51	0.6256395	1.9563411	0.0	0.04083249	0.308	1995	tags=29%, list=11%, signal=33%	
MEIOTIC RECOMBINATION%REACTOME DATABASE ID RELEASE 91%912446	MEIOTIC RECOMBINATION%REACTOME DATABASE ID RELEASE 91%912446	Details ...	48	0.63309723	1.9489003	0.0	0.041660395	0.3395	2906	tags=40%, list=15%, signal=47%	
CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 91%110329	CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME DATABASE ID RELEASE 91%110329	Details ...	34	0.6871827	1.9434738	0.0	0.041767105	0.3635	2772	tags=50%, list=15%, signal=59%	
OMEGA 6 FATTY ACIDS IN SENESCENCE%WIKIPATHWAYS_20250210%WP5424%HOMO SAPIENS	OMEGA 6 FATTY ACIDS IN SENESCENCE%WIKIPATHWAYS_20250210%WP5424%HOMO SAPIENS	Details ...	27	0.71514887	1.9407603	0.0	0.040237967	0.3755	1522	tags=37%, list=8%, signal=40%	
REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034110	REGULATION OF HOMOTYPIC CELL-CELL ADHESION%GOBP%GO:0034110	Details ...	28	0.72074926	1.940595	9.794319E-4	0.03759903	0.3775	1430	tags=29%, list=8%, signal=31%	
RESPONSE TO CHEMOKINE%GOBP%GO:1990868	RESPONSE TO CHEMOKINE%GOBP%GO:1990868	Details ...	35	0.6672816	1.9391783	9.285051E-4	0.036225054	0.388	2145	tags=43%, list=11%, signal=48%	
REGULATION OF ENDOGENOUS RETROELEMENTS BY THE HUMAN SILENCING HUB (HUSH) COMPLEX%REACTOME%R-HSA-9843970.1	REGULATION OF ENDOGENOUS RETROELEMENTS BY THE HUMAN SILENCING HUB (HUSH) COMPLEX%REACTOME%R-HSA-9843970.1	Details ...	33	0.68259054	1.9327964	0.0	0.03793441	0.4275	2315	tags=45%, list=12%, signal=52%	
POSITIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA STAT%GOBP%GO:1904894	POSITIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA STAT%GOBP%GO:1904894	Details ...	30	0.6909358	1.9326599	0.0	0.035702974	0.4275	1517	tags=27%, list=8%, signal=29%	
DNA METHYLATION%REACTOME DATABASE ID RELEASE 91%5334118	DNA METHYLATION%REACTOME DATABASE ID RELEASE 91%5334118	Details ...	26	0.7214184	1.9301533	0.0	0.03570166	0.447	2315	tags=54%, list=12%, signal=61%	
PACKAGING OF TELOMERE ENDS%REACTOME DATABASE ID RELEASE 91%171306	PACKAGING OF TELOMERE ENDS%REACTOME DATABASE ID RELEASE 91%171306	Details ...	26	0.7145043	1.9285828	0.0	0.034922063	0.457	2772	tags=54%, list=15%, signal=63%	
ACTIVATION OF BH3-ONLY PROTEINS%REACTOME%R-HSA-114452.5	ACTIVATION OF BH3-ONLY PROTEINS%REACTOME%R-HSA-114452.5	Details ...	30	0.69168174	1.9278382	9.285051E-4	0.033614006	0.461	2256	tags=40%, list=12%, signal=45%	
ICOSANOID BIOSYNTHETIC PROCESS%GOBP%GO:0046456	ICOSANOID BIOSYNTHETIC PROCESS%GOBP%GO:0046456		32	0.68977386	1.9273816	9.4161957E-4	0.032353163	0.466	1522	tags=31%, list=8%, signal=34%	
CELLULAR RESPONSE TO CHEMOKINE%GOBP%GO:1990869	CELLULAR RESPONSE TO CHEMOKINE%GOBP%GO:1990869		35	0.6672816	1.9225756	0.0	0.03365973	0.491	2145	tags=43%, list=11%, signal=48%	
INHIBITION OF DNA RECOMBINATION AT TELOMERE%REACTOME DATABASE ID RELEASE 91%9670095	INHIBITION OF DNA RECOMBINATION AT TELOMERE%REACTOME DATABASE ID RELEASE 91%9670095		41	0.65696543	1.9199275	0.0	0.033897277	0.511	2315	tags=34%, list=12%, signal=39%	
DEFECTIVE PYROPTOSIS%REACTOME%R-HSA-9710421.5	DEFECTIVE PYROPTOSIS%REACTOME%R-HSA-9710421.5		35	0.67383444	1.9149821	9.1240875E-4	0.035683107	0.546	2957	tags=46%, list=16%, signal=54%	
COMPLEMENT ACTIVATION%GOBP%GO:0006956	COMPLEMENT ACTIVATION%GOBP%GO:0006956		24	0.71912044	1.9119716	0.0	0.03605315	0.563	3638	tags=58%, list=19%, signal=72%	
GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071621	GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071621		32	0.69031674	1.9095381	9.11577E-4	0.036354188	0.5785	1995	tags=38%, list=11%, signal=42%	
GRANULOCYTE MIGRATION%GOBP%GO:0097530	GRANULOCYTE MIGRATION%GOBP%GO:0097530		37	0.64745545	1.906078	9.276438E-4	0.037037935	0.6	1995	tags=32%, list=11%, signal=36%	
PRC2 METHYLATES HISTONES AND DNA%REACTOME%R-HSA-212300.3	PRC2 METHYLATES HISTONES AND DNA%REACTOME%R-HSA-212300.3		35	0.66120195	1.9017358	9.066183E-4	0.038401622	0.6285	2315	tags=40%, list=12%, signal=46%	
INTERLEUKIN-2 FAMILY SIGNALING%REACTOME DATABASE ID RELEASE 91%451927	INTERLEUKIN-2 FAMILY SIGNALING%REACTOME DATABASE ID RELEASE 91%451927		34	0.65764016	1.8958952	0.0	0.040961333	0.6615	2145	tags=29%, list=11%, signal=33%	
BASE-EXCISION REPAIR, AP SITE FORMATION%REACTOME DATABASE ID RELEASE 91%73929	BASE-EXCISION REPAIR, AP SITE FORMATION%REACTOME DATABASE ID RELEASE 91%73929		35	0.6621526	1.8869416	0.0	0.046240807	0.7165	2772	tags=49%, list=15%, signal=57%	
CLEAVAGE OF THE DAMAGED PURINE%REACTOME DATABASE ID RELEASE 91%110331	CLEAVAGE OF THE DAMAGED PURINE%REACTOME DATABASE ID RELEASE 91%110331		29	0.6801879	1.8865919	9.3720714E-4	0.044979833	0.7205	2772	tags=52%, list=15%, signal=61%	
DEPURINATION%REACTOME DATABASE ID RELEASE 91%73927	DEPURINATION%REACTOME DATABASE ID RELEASE 91%73927		29	0.6801879	1.8798317	0.0037664783	0.048526682	0.7635	2772	tags=52%, list=15%, signal=61%	
SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 91%427359	SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 91%427359		30	0.6778819	1.8755742	0.0	0.05021714	0.7865	2315	tags=47%, list=12%, signal=53%	
